,lat,long,date,fire_bool
84,26.203,-81.049,2014-04-27,t
85,26.203,-81.049,2014-04-27,t
86,26.205,-81.056,2014-04-27,t
87,26.205,-81.056,2014-04-27,t
88,26.205,-81.056,2014-04-27,t
8234,32.631,-110.32,2014-07-02,t
8238,32.632,-110.315,2014-06-30,t
8239,32.632,-110.315,2014-06-30,t
8240,32.632,-110.315,2014-06-30,t
8246,32.635,-110.306,2014-06-30,t
8247,32.635,-110.306,2014-06-30,t
8248,32.635,-110.306,2014-06-30,t
8259,32.638,-110.314,2014-07-01,t
8260,32.638,-110.314,2014-07-01,t
8261,32.639,-110.328,2014-06-30,t
8262,32.639,-110.328,2014-06-30,t
8264,32.639,-110.328,2014-06-30,t
8265,32.639,-110.292,2014-06-25,t
8266,32.639,-110.292,2014-06-25,t
8267,32.639,-110.292,2014-06-25,t
8280,32.644,-110.329,2014-06-27,t
8281,32.644,-110.306,2014-06-26,t
8300,32.648,-110.332,2014-06-27,t
8322,32.652,-110.323,2014-06-25,t
8337,32.656,-110.295,2014-06-25,t
8338,32.656,-110.295,2014-06-25,t
8402,32.682,-110.327,2014-06-21,t
8403,32.682,-110.327,2014-06-21,t
8412,32.685,-110.337,2014-06-25,t
8417,32.689,-110.324,2014-06-21,t
8418,32.689,-110.324,2014-06-21,t
8419,32.689,-110.324,2014-06-21,t
8446,32.697,-110.316,2014-06-24,t
9558,33.099,-117.152,2014-05-15,t
9566,33.103,-117.15,2014-05-15,t
9567,33.103,-117.15,2014-05-15,t
9568,33.103,-117.15,2014-05-15,t
9595,33.115,-117.144,2014-05-15,t
9596,33.115,-117.144,2014-05-15,t
9597,33.115,-117.144,2014-05-15,t
9981,33.303,-109.728,2014-05-19,t
10043,33.345,-117.267,2014-05-14,t
10044,33.345,-117.267,2014-05-14,t
10045,33.345,-117.267,2014-05-14,t
10049,33.349,-117.295,2014-05-14,t
10050,33.349,-117.295,2014-05-14,t
10051,33.349,-117.295,2014-05-14,t
10053,33.354,-117.285,2014-05-14,t
10054,33.354,-117.285,2014-05-14,t
10055,33.354,-117.285,2014-05-14,t
10064,33.357,-117.261,2014-05-14,t
10065,33.357,-117.261,2014-05-14,t
10070,33.36,-117.268,2014-05-14,t
10071,33.36,-117.268,2014-05-14,t
10088,33.365,-109.957,2014-05-13,t
10089,33.365,-109.957,2014-05-13,t
10090,33.365,-109.957,2014-05-13,t
10108,33.374,-109.966,2014-05-13,t
10109,33.374,-109.966,2014-05-13,t
10110,33.374,-109.966,2014-05-13,t
10111,33.374,-109.89,2014-05-18,t
10112,33.374,-109.89,2014-05-18,t
10113,33.374,-109.89,2014-05-18,t
10154,33.4,-109.905,2014-05-16,t
10155,33.4,-109.905,2014-05-16,t
10156,33.403,-109.931,2014-05-17,t
10157,33.403,-109.931,2014-05-17,t
10158,33.403,-109.931,2014-05-17,t
10199,33.414,-109.926,2014-05-16,t
10200,33.414,-109.926,2014-05-16,t
10201,33.414,-109.926,2014-05-16,t
10275,33.421,-109.923,2014-05-17,t
10283,33.422,-109.995,2014-05-14,t
10284,33.422,-109.995,2014-05-14,t
10285,33.422,-109.995,2014-05-14,t
10296,33.424,-110.004,2014-05-15,t
10300,33.425,-109.916,2014-05-16,t
10305,33.432,-109.958,2014-05-15,t
10319,33.437,-109.97,2014-05-14,t
10320,33.437,-109.97,2014-05-14,t
10321,33.437,-109.97,2014-05-14,t
10351,33.442,-109.937,2014-05-16,t
10352,33.442,-109.937,2014-05-16,t
10371,33.447,-110.047,2014-05-19,t
10372,33.447,-110.047,2014-05-19,t
10373,33.447,-110.047,2014-05-19,t
10378,33.451,-110.01,2014-05-16,t
10379,33.451,-110.01,2014-05-16,t
10380,33.451,-110.01,2014-05-16,t
10381,33.451,-109.989,2014-05-16,t
10386,33.452,-110.024,2014-05-19,t
10387,33.452,-110.024,2014-05-19,t
10388,33.452,-110.023,2014-05-19,t
10403,33.462,-110.019,2014-05-19,t
10404,33.463,-110.005,2014-05-17,t
10405,33.463,-110.005,2014-05-17,t
10406,33.463,-110.005,2014-05-17,t
10407,33.464,-110.073,2014-05-31,t
10408,33.464,-110.073,2014-05-31,t
10409,33.466,-109.99,2014-05-17,t
10410,33.466,-109.99,2014-05-17,t
10411,33.466,-109.99,2014-05-17,t
10412,33.466,-109.984,2014-05-18,t
10413,33.466,-109.98,2014-05-17,t
10414,33.466,-109.98,2014-05-17,t
10415,33.466,-109.98,2014-05-17,t
10416,33.466,-109.974,2014-05-17,t
10417,33.466,-109.974,2014-05-17,t
10418,33.466,-109.974,2014-05-17,t
10424,33.472,-110.016,2014-05-19,t
10432,33.475,-109.998,2014-05-18,t
10470,33.484,-110.144,2014-06-03,t
10471,33.484,-110.144,2014-06-03,t
10472,33.484,-110.144,2014-06-03,t
10473,33.484,-110.025,2014-05-21,t
10474,33.484,-110.003,2014-05-20,t
10475,33.484,-110.003,2014-05-20,t
10476,33.484,-110.003,2014-05-20,t
10506,33.488,-110.021,2014-05-20,t
10527,33.493,-109.774,2014-06-02,t
10528,33.493,-109.774,2014-06-02,t
10529,33.493,-109.774,2014-06-02,t
10536,33.497,-110.147,2014-06-02,t
10537,33.497,-110.147,2014-06-02,t
10538,33.497,-110.147,2014-06-02,t
10540,33.498,-110.15,2014-06-02,t
10541,33.498,-110.15,2014-06-02,t
10542,33.498,-110.15,2014-06-02,t
10543,33.498,-110.081,2014-05-27,t
10544,33.498,-110.081,2014-05-27,t
10545,33.498,-110.081,2014-05-27,t
10548,33.499,-110.095,2014-05-31,t
10558,33.504,-110.026,2014-05-22,t
10569,33.507,-110.179,2014-06-03,t
