,lat,long,date,fire_bool
1895,29.813,-93.576,2014-07-17,f
1896,29.813,-93.576,2014-07-17,f
1897,29.813,-93.576,2014-07-17,f
1939,29.834,-93.559,2014-07-17,f
1940,29.834,-93.559,2014-07-17,f
1941,29.834,-93.559,2014-07-17,f
1946,29.835,-93.612,2014-07-17,f
1947,29.835,-93.612,2014-07-17,f
1948,29.835,-93.549,2014-07-17,f
1949,29.835,-93.549,2014-07-17,f
1950,29.835,-93.549,2014-07-17,f
1967,29.844,-93.551,2014-07-17,f
1968,29.844,-93.551,2014-07-17,f
1969,29.844,-93.551,2014-07-17,f
1977,29.85,-93.573,2014-07-17,f
1978,29.85,-93.573,2014-07-17,f
1979,29.85,-93.573,2014-07-17,f
1996,29.856,-93.595,2014-07-17,f
1997,29.856,-93.595,2014-07-17,f
1998,29.856,-93.595,2014-07-17,f
4076,30.933,-84.26,2014-07-17,f
4325,30.996,-84.187,2014-07-17,f
5369,31.433,-84.207,2014-07-17,f
5370,31.433,-84.207,2014-07-17,f
6997,32.11,-82.714,2014-07-17,f
7349,32.259,-87.169,2014-07-17,f
7627,32.383,-82.454,2014-07-17,f
7628,32.383,-82.454,2014-07-17,f
7653,32.391,-82.44,2014-07-17,f
7654,32.391,-82.44,2014-07-17,f
7921,32.5,-115.066,2014-07-17,f
9677,33.145,-83.206,2014-07-17,f
11796,34.259,-111.184,2014-07-17,f
11797,34.259,-111.184,2014-07-17,f
11994,34.362,-111.412,2014-07-17,f
11995,34.362,-111.412,2014-07-17,f
18258,38.749,-121.608,2014-07-17,f
20061,40.477,-122.76,2014-07-17,t
20074,40.486,-122.785,2014-07-17,t
20075,40.486,-122.785,2014-07-17,t
20992,41.45,-81.674,2014-07-17,f
20994,41.45,-81.674,2014-07-17,f
22858,42.682,-111.592,2014-07-17,f
23139,43.122,-118.165,2014-07-17,t
23140,43.122,-118.165,2014-07-17,t
23141,43.122,-118.165,2014-07-17,t
23155,43.151,-118.298,2014-07-17,f
23165,43.159,-118.246,2014-07-17,t
23172,43.165,-118.196,2014-07-17,f
23173,43.165,-118.196,2014-07-17,f
23185,43.17,-118.206,2014-07-17,f
23197,43.185,-118.237,2014-07-17,t
23198,43.188,-118.2,2014-07-17,t
23250,43.248,-117.984,2014-07-17,f
23256,43.254,-117.966,2014-07-17,t
23285,43.27,-118.02,2014-07-17,f
23318,43.282,-118.327,2014-07-17,t
23319,43.284,-118.379,2014-07-17,f
23323,43.288,-117.941,2014-07-17,f
