,lat,long,date,fire_bool
20061,40.477,-122.76,2014-07-17,t
20074,40.486,-122.785,2014-07-17,t
20075,40.486,-122.785,2014-07-17,t
23139,43.122,-118.165,2014-07-17,t
23140,43.122,-118.165,2014-07-17,t
23141,43.122,-118.165,2014-07-17,t
23165,43.159,-118.246,2014-07-17,t
23197,43.185,-118.237,2014-07-17,t
23198,43.188,-118.2,2014-07-17,t
23256,43.254,-117.966,2014-07-17,t
23318,43.282,-118.327,2014-07-17,t
23380,43.358,-118.188,2014-07-17,t
23381,43.358,-118.188,2014-07-17,t
23382,43.358,-118.188,2014-07-17,t
23390,43.363,-118.279,2014-07-17,t
23391,43.363,-118.279,2014-07-17,t
23431,43.423,-118.386,2014-07-17,t
23451,43.448,-118.403,2014-07-17,t
23452,43.448,-118.403,2014-07-17,t
23453,43.448,-118.403,2014-07-17,t
23484,43.471,-118.374,2014-07-17,t
23485,43.471,-118.374,2014-07-17,t
23557,43.584,-118.375,2014-07-17,t
23558,43.584,-118.375,2014-07-17,t
23562,43.603,-118.385,2014-07-17,t
23563,43.603,-118.385,2014-07-17,t
23787,44.031,-115.926,2014-07-17,t
23788,44.031,-115.926,2014-07-17,t
23789,44.031,-115.926,2014-07-17,t
24217,44.494,-120.356,2014-07-17,t
24218,44.494,-120.356,2014-07-17,t
24219,44.497,-120.382,2014-07-17,t
24220,44.497,-120.381,2014-07-17,t
24221,44.497,-120.38,2014-07-17,t
24260,44.527,-120.36,2014-07-17,t
24261,44.527,-120.36,2014-07-17,t
24268,44.533,-120.362,2014-07-17,t
24281,44.548,-121.613,2014-07-17,t
24284,44.551,-121.614,2014-07-17,t
24285,44.551,-121.614,2014-07-17,t
24304,44.571,-121.606,2014-07-17,t
24305,44.571,-121.606,2014-07-17,t
24306,44.571,-121.606,2014-07-17,t
24307,44.572,-121.594,2014-07-17,t
24308,44.572,-121.594,2014-07-17,t
24309,44.572,-121.594,2014-07-17,t
24358,44.633,-121.694,2014-07-17,t
24359,44.635,-121.748,2014-07-17,t
24360,44.635,-121.748,2014-07-17,t
24361,44.635,-121.748,2014-07-17,t
24378,44.64,-121.709,2014-07-17,t
24379,44.64,-121.709,2014-07-17,t
24380,44.64,-121.709,2014-07-17,t
24381,44.641,-121.697,2014-07-17,t
24382,44.641,-121.697,2014-07-17,t
24383,44.641,-121.697,2014-07-17,t
24423,44.709,-117.712,2014-07-17,t
24424,44.709,-117.712,2014-07-17,t
24425,44.711,-117.72,2014-07-17,t
24426,44.711,-117.72,2014-07-17,t
24427,44.711,-117.687,2014-07-17,t
24428,44.711,-117.687,2014-07-17,t
24641,44.942,-119.545,2014-07-17,t
24642,44.942,-119.545,2014-07-17,t
24643,44.942,-119.545,2014-07-17,t
24674,44.967,-121.168,2014-07-17,t
24675,44.967,-121.168,2014-07-17,t
24676,44.968,-121.167,2014-07-17,t
24726,45.02,-121.158,2014-07-17,t
26497,47.662,-120.767,2014-07-17,t
26498,47.662,-120.767,2014-07-17,t
26540,47.675,-120.75,2014-07-17,t
26541,47.675,-120.75,2014-07-17,t
26542,47.675,-120.75,2014-07-17,t
26568,47.685,-120.754,2014-07-17,t
26569,47.685,-120.754,2014-07-17,t
26570,47.685,-120.754,2014-07-17,t
26577,47.687,-120.796,2014-07-17,t
26578,47.687,-120.796,2014-07-17,t
26579,47.687,-120.796,2014-07-17,t
26593,47.692,-120.795,2014-07-17,t
26594,47.692,-120.795,2014-07-17,t
26595,47.692,-120.795,2014-07-17,t
26608,47.698,-120.778,2014-07-17,t
26609,47.698,-120.778,2014-07-17,t
26610,47.698,-120.778,2014-07-17,t
27124,48.155,-120.018,2014-07-17,t
27125,48.155,-120.018,2014-07-17,t
27126,48.155,-120.018,2014-07-17,t
27134,48.159,-119.987,2014-07-17,t
27136,48.16,-119.988,2014-07-17,t
27137,48.16,-119.988,2014-07-17,t
27138,48.16,-119.988,2014-07-17,t
27147,48.164,-119.994,2014-07-17,t
27148,48.164,-119.994,2014-07-17,t
27149,48.164,-119.994,2014-07-17,t
27160,48.168,-120.015,2014-07-17,t
27161,48.168,-120.015,2014-07-17,t
27162,48.168,-119.961,2014-07-17,t
27163,48.169,-119.993,2014-07-17,t
27164,48.169,-119.993,2014-07-17,t
27170,48.176,-119.98,2014-07-17,t
27172,48.177,-120.042,2014-07-17,t
27176,48.18,-120.053,2014-07-17,t
27177,48.18,-120.053,2014-07-17,t
27178,48.18,-120.053,2014-07-17,t
27182,48.182,-120.066,2014-07-17,t
27183,48.182,-120.066,2014-07-17,t
27184,48.182,-120.066,2014-07-17,t
27191,48.185,-120.086,2014-07-17,t
27192,48.185,-120.086,2014-07-17,t
27193,48.185,-120.086,2014-07-17,t
27196,48.187,-119.979,2014-07-17,t
27197,48.187,-119.979,2014-07-17,t
27198,48.187,-119.979,2014-07-17,t
27210,48.19,-120.12,2014-07-17,t
27211,48.19,-120.12,2014-07-17,t
27218,48.193,-120.133,2014-07-17,t
27219,48.193,-120.133,2014-07-17,t
27220,48.193,-120.133,2014-07-17,t
27221,48.193,-120.009,2014-07-17,t
27222,48.193,-120.009,2014-07-17,t
27226,48.195,-120.089,2014-07-17,t
27227,48.195,-120.089,2014-07-17,t
27228,48.195,-120.089,2014-07-17,t
27248,48.2,-120.003,2014-07-17,t
27249,48.2,-120.003,2014-07-17,t
27250,48.2,-120.003,2014-07-17,t
27255,48.204,-120.144,2014-07-17,t
27256,48.204,-120.144,2014-07-17,t
27257,48.204,-120.144,2014-07-17,t
27262,48.207,-120.044,2014-07-17,t
27292,48.214,-120.156,2014-07-17,t
27306,48.221,-120.128,2014-07-17,t
27307,48.221,-120.128,2014-07-17,t
27308,48.221,-120.128,2014-07-17,t
27329,48.224,-120.151,2014-07-17,t
27330,48.224,-120.151,2014-07-17,t
27331,48.224,-120.151,2014-07-17,t
27342,48.226,-120.165,2014-07-17,t
27343,48.226,-120.165,2014-07-17,t
27344,48.226,-120.165,2014-07-17,t
27740,48.407,-120.024,2014-07-17,t
27741,48.407,-120.024,2014-07-17,t
27742,48.407,-120.024,2014-07-17,t
27750,48.418,-120.028,2014-07-17,t
27751,48.418,-120.028,2014-07-17,t
27763,48.429,-120.045,2014-07-17,t
27764,48.429,-120.045,2014-07-17,t
27765,48.429,-120.045,2014-07-17,t
27796,48.44,-120.055,2014-07-17,t
27797,48.44,-120.055,2014-07-17,t
27798,48.442,-120.013,2014-07-17,t
27800,48.445,-120.039,2014-07-17,t
27802,48.452,-120.058,2014-07-17,t
27803,48.452,-120.058,2014-07-17,t
27804,48.453,-120.058,2014-07-17,t
27805,48.454,-120.079,2014-07-17,t
27806,48.454,-120.079,2014-07-17,t
27807,48.454,-120.079,2014-07-17,t
27813,48.456,-120.025,2014-07-17,t
27814,48.456,-120.025,2014-07-17,t
27815,48.456,-120.025,2014-07-17,t
27838,48.48,-120.07,2014-07-17,t
27839,48.48,-120.07,2014-07-17,t
27840,48.48,-120.07,2014-07-17,t
51784,43.132,-118.127,2014-07-17,t
51825,43.149,-118.254,2014-07-17,t
51826,43.151,-118.267,2014-07-17,t
51827,43.151,-118.267,2014-07-17,t
51828,43.151,-118.267,2014-07-17,t
51829,43.151,-118.26,2014-07-17,t
51833,43.153,-118.255,2014-07-17,t
51834,43.153,-118.255,2014-07-17,t
51835,43.153,-118.255,2014-07-17,t
51874,43.187,-118.221,2014-07-17,t
51875,43.187,-118.221,2014-07-17,t
51887,43.213,-118.04,2014-07-17,t
51993,43.279,-118.06,2014-07-17,t
51994,43.279,-118.06,2014-07-17,t
52033,43.305,-118.041,2014-07-17,t
52034,43.305,-118.041,2014-07-17,t
52081,43.339,-118.265,2014-07-17,t
52086,43.353,-118.221,2014-07-17,t
52125,43.407,-118.389,2014-07-17,t
52132,43.411,-118.404,2014-07-17,t
52133,43.411,-118.404,2014-07-17,t
52212,43.476,-118.381,2014-07-17,t
52218,43.483,-118.377,2014-07-17,t
52289,43.602,-118.381,2014-07-17,t
52509,44.004,-115.876,2014-07-17,t
52521,44.01,-115.872,2014-07-17,t
52533,44.021,-115.905,2014-07-17,t
52534,44.021,-115.905,2014-07-17,t
52535,44.021,-115.905,2014-07-17,t
53024,44.483,-120.354,2014-07-17,t
53027,44.488,-120.362,2014-07-17,t
53028,44.488,-120.362,2014-07-17,t
53032,44.491,-120.366,2014-07-17,t
53033,44.491,-120.366,2014-07-17,t
53034,44.491,-120.366,2014-07-17,t
53046,44.498,-120.367,2014-07-17,t
53047,44.498,-120.367,2014-07-17,t
53048,44.498,-120.367,2014-07-17,t
53117,44.556,-121.61,2014-07-17,t
53118,44.556,-121.61,2014-07-17,t
53119,44.556,-121.61,2014-07-17,t
53130,44.562,-121.604,2014-07-17,t
53131,44.562,-121.604,2014-07-17,t
53132,44.562,-121.604,2014-07-17,t
53133,44.563,-121.591,2014-07-17,t
53134,44.563,-121.591,2014-07-17,t
53135,44.563,-121.591,2014-07-17,t
53143,44.568,-121.574,2014-07-17,t
53144,44.568,-121.574,2014-07-17,t
53145,44.568,-121.574,2014-07-17,t
53149,44.57,-121.587,2014-07-17,t
53150,44.57,-121.587,2014-07-17,t
53151,44.57,-121.587,2014-07-17,t
53152,44.572,-121.599,2014-07-17,t
53153,44.572,-121.599,2014-07-17,t
53154,44.572,-121.599,2014-07-17,t
53155,44.574,-121.585,2014-07-17,t
53196,44.634,-121.752,2014-07-17,t
53197,44.634,-121.752,2014-07-17,t
53198,44.634,-121.752,2014-07-17,t
53221,44.648,-121.721,2014-07-17,t
53222,44.648,-121.721,2014-07-17,t
53223,44.648,-121.721,2014-07-17,t
53460,44.921,-121.733,2014-07-17,t
53461,44.921,-121.733,2014-07-17,t
53482,44.929,-121.752,2014-07-17,t
53483,44.929,-121.752,2014-07-17,t
53491,44.932,-119.558,2014-07-17,t
53492,44.932,-119.543,2014-07-17,t
53493,44.932,-119.543,2014-07-17,t
53494,44.932,-119.543,2014-07-17,t
53501,44.937,-121.195,2014-07-17,t
53502,44.937,-121.195,2014-07-17,t
53503,44.937,-121.195,2014-07-17,t
53523,44.944,-121.21,2014-07-17,t
